Date,RequestedQTY,GoodsIssuedQTY,InvoicedQTY,PDO number,req_Illy,req_Teddy,req_Thun,req_other,inv_Illy,inv_Teddy,inv_Thun,inv_other,req_ThunB2B,req_ThunB2C,req_ThunB2B_AA,req_ThunB2B_PP,req_ThunB2B_Sorter,req_ThunB2B_Sort_BVB,req_ThunB2B_Sort_SM,req_ThunB2B_SortSM_10more_no,req_ThunB2B_SortSM_10more_yes,Thun_PDOs,req_BowlPros,inv_BowlPros,AVGperPDO_Thun_ReqQ,AVGperPDO_Thun_SKU,AVGperPDOThunB2B_ReqQ,AVGperPDOThunB2B_InvQ,AVGperPDOThunB2B_SKU,AVGperPDOThunB2B_PDOs,AVGperPDOThunB2C_ReqQ,AVGperPDOThunB2C_InvQ,AVGperPDOThunB2C_SKU,AVGperPDOThunB2C_PDOs,AVGperPDOThunB2Bsort_ReqQ,AVGperPDOThunB2Bsort_InvQ,AVGperPDOThunB2Bsort_SKU,ThunB2Bsort_PDOs,AVGperPDOThunB2Bpp_ReqQ,AVGperPDOThunB2Bpp_InvQ,AVGperPDOThunB2Bpp_SKU,ThunB2Bpp_PDOs,AVGperPDOThunB2Baa_ReqQ,AVGperPDOThunB2Baa_InvQ,AVGperPDOThunB2Baa_SKU,ThunB2Baa_PDOs,AVGperPDO_ReqQ,AVGperPDO_InvQ,AVGperPDO_SKU,BOL_B2B Thun,BOL_B2B AA Thun,BOL_B2B P&P Thun,BOL_B2B Sorter Thun,BOL_B2B Sorter SM Thun,BOL_B2B Sorter BVB Thun,BOL_B2B Sorter riassortimenti WHS,BOL_B2C Thun,BOL_B2C Sorter Thun,BOL_B2C P2L Thun,BOL_Inbound Thun
5/22/2017,200988,198166,197033,12306,26825,493,173049,621,25668,472,170272,621,172161,888,51916,36601,83644,10613,73031,7185,65846,9416,0,0,18.37818607,3.871920136,18.81952339,18.5161784,3.91189331,9148,3.313432836,3.305970149,2.507462687,268,22.95948227,22.34721441,7.232414181,3554,26.74894515,26.55063291,2.250351617,1422,12.59012464,12.5141419,1.649568552,4172,16.75137713,16.41700238,3.600180876,,,,,,,,,,,
5/29/2017,198134,196018,195360,9805,15002,0,181217,1915,14344,0,179102,1914,180228,989,74934,17036,88258,10324,77934,4131,73803,7362,0,0,24.61518609,4.958706873,25.51359003,25.21475085,5.058182333,7064,3.318791946,3.305369128,2.600671141,298,22.92584689,22.54334489,7.057615364,3749,22.40595238,21.94285714,2.610714286,840,30.48808081,30.37171717,2.86020202,2475,20.71858445,20.4168256,4.416083916,,,,,,,,,,,
6/5/2017,79258,78350,77339,5982,15937,0,61821,1500,14909,0,60930,1500,61064,757,21381,5915,33768,5730,28038,2229,25809,3589,0,0,17.22513235,3.626636946,18.11450608,17.85137941,3.681400178,3371,3.472477064,3.45412844,2.779816514,218,24.17943262,23.73687943,6.861702128,1410,6.798065296,6.631197098,1.529625151,827,18.82627866,18.71604938,1.296296296,1134,13.91229306,13.61271574,3.178055653,,,,,,,,,,,
6/12/2017,276029,217844,216976,8862,15085,0,259148,1796,14217,0,200970,1789,258644,504,11331,9869,237444,19926,217518,7521,209997,6442,0,0,40.22787954,13.07125116,41.33674285,32.03915615,13.38932396,6257,2.724324324,2.708108108,2.313513514,185,60.58109478,45.93461733,20.30765332,3946,23.45294118,22.83529412,2.1,340,5.893962456,5.807711821,1.486047692,1971,31.51700525,24.77185574,10.25416572,,,,,,,,,,,
6/19/2017,209212,205881,205074,8117,13437,0,193495,2280,12630,0,190166,2278,193015,480,14315,9650,169050,19481,149569,4699,144870,5733,0,0,33.75109018,10.05163091,34.66505029,34.06716954,10.28214799,5568,2.909090909,2.909090909,2.272727273,165,50.47445913,49.61117788,15.61027644,3328,26.69017632,25.81108312,5.758186398,397,7.835051546,7.776994031,1.635377103,1843,26.24865136,25.72613223,7.941161711,,,,,,,,,,,
6/26/2017,133006,128695,127674,9116,20037,6,108266,4697,19016,6,103957,4695,105180,3086,12127,11549,81504,9484,72020,6987,65033,5839,0,0,18.54187361,5.032711081,20.6884343,19.8554288,5.291109363,5084,4.087417219,3.989403974,3.292715232,755,21.86566765,20.84934439,6.526625636,3737,27.70197044,26.9137931,2.305418719,406,12.98724761,12.8629118,1.672688629,941,14.86540179,14.26729911,4.312388393,,,,,,,,,,,
7/3/2017,120789,116743,115981,7809,13875,918,101054,4942,13113,658,97278,4932,95599,5455,6796,8404,80399,13130,67269,3805,63464,4619,0,0,21.87789565,5.177094609,28.02667839,26.93315743,5.881852829,3411,4.515728477,4.477649007,3.187086093,1208,31.36637931,30.15164577,7.210423197,2552,20.3986014,19.17948718,2.053613054,429,15.81627907,15.56744186,1.81627907,430,15.81695316,15.19091983,4.287888729,,,,,,,,,,,
7/10/2017,176256,168387,167613,8629,13874,2589,156430,3363,13100,2578,148581,3354,151983,4447,9371,19365,123247,27705,95542,4996,90546,5596,0,0,27.95389564,5.945318084,36.13480742,34.2810271,7.035187827,4206,3.199280576,3.161870504,2.647482014,1390,39.42105263,37.08740032,8.676555024,3135,34.04174229,33.34482759,2.457350272,551,18.54038462,18.35384615,1.990384615,520,20.79714589,19.77910131,4.933482722,,,,,,,,,,,
7/17/2017,148414,142140,141371,9205,14960,4701,126139,2614,14191,4701,119870,2609,122724,3415,14990,14963,92771,10925,81846,9282,72564,6221,0,0,20.27632213,4.098376467,23.54643131,22.37394474,4.332885649,5212,3.384539148,3.227948464,2.887016848,1009,23.47031847,21.99643312,5.031592357,3925,25.6010274,25.25856164,2.181506849,584,22.26458037,22.08534851,2.219061166,703,16.39821054,15.61692257,3.933944549,,,,,,,,,,,
7/24/2017,177269.833,166178,165145,13412,18286,7106,148553.833,3324,17253,7103,137468,3321,137750.833,10803,7829,12314,117607.833,21575,96032.833,7283,88749.833,9727,0,0,15.27231757,3.82173332,19.45358466,17.9158311,3.996328202,7081,4.08276644,4.008314437,3.354497354,2646,24.85162681,22.77067349,5.234441603,4692,20.55658915,19.07596899,1.894573643,645,4.52293578,4.425458716,1.44266055,1744,13.37257047,12.45883686,3.764803625,,,,,,,,,,,
